$GPYBM,SN10086413,081053.00,+32.031672290,+120.915326568,15.249,267.609,-0.695,-0.009,-0.004,0.013,0.010,3545730.814,586463.959,1876.387,2120.118,4,4,28,2,0099,0.717,27,*7F

$GPYBM,SN10086413,081053.10,+32.031672283,+120.915326576,15.251,267.717,-0.743,-0.008,0.007,-0.021,0.010,3545730.814,586463.960,1876.387,2120.119,4,4,27,2,0099,0.722,26,*7E

$GPYBM,SN10086413,081053.20,+32.031672285,+120.915326573,15.253,267.696,-0.819,0.001,-0.002,-0.018,0.002,3545730.814,586463.960,1876.387,2120.118,4,4,28,2,0099,0.723,26,*7E

$GPYBM,SN10086413,081053.30,+32.031672277,+120.915326571,15.252,267.803,-0.881,-0.008,-0.002,0.013,0.008,3545730.813,586463.960,1876.386,2120.118,4,4,28,1,0099,0.724,26,*78

$GPYBM,SN10086413,081053.40,+32.031672277,+120.915326585,15.250,267.717,-0.777,-0.000,0.013,0.013,0.013,3545730.813,586463.961,1876.386,2120.120,4,4,28,1,0099,0.720,26,*5B

$GPYBM,SN10086413,081053.50,+32.031672300,+120.915326543,15.248,267.475,-0.765,0.024,-0.038,0.022,0.045,3545730.815,586463.957,1876.388,2120.116,4,4,28,2,0099,0.722,26,*5B

$GPYBM,SN10086413,081053.60,+32.031672276,+120.915326418,15.251,268.201,-0.660,-0.025,-0.117,-0.023,0.120,3545730.813,586463.945,1876.386,2120.104,4,4,28,2,0099,0.723,26,*56

$GPYBM,SN10086413,081053.70,+32.031672294,+120.915326202,15.248,267.838,-0.766,0.016,-0.201,0.023,0.201,3545730.815,586463.925,1876.388,2120.083,4,4,28,1,0099,0.723,26,*51

$GPYBM,SN10086413,081053.80,+32.031672281,+120.915325996,15.248,267.751,-0.903,-0.015,-0.195,-0.004,0.195,3545730.813,586463.905,1876.386,2120.064,4,4,28,1,0099,0.727,26,*53

$GPYBM,SN10086413,081053.90,+32.031672303,+120.915325834,15.255,267.526,-0.923,0.014,-0.164,-0.046,0.165,3545730.815,586463.890,1876.389,2120.049,4,4,28,1,0099,0.727,26,*7C

$GPYBM,SN10086413,081054.00,+32.031672295,+120.915325854,15.253,267.370,-0.890,-0.009,0.019,0.020,0.021,3545730.814,586463.892,1876.388,2120.051,4,4,28,1,0099,0.726,26,*51

$GPYBM,SN10086413,081054.10,+32.031672296,+120.915325861,15.252,267.289,-0.790,-0.002,0.010,0.013,0.010,3545730.814,586463.893,1876.388,2120.051,4,4,28,1,0099,0.722,27,*58

$GPYBM,SN10086413,081054.20,+32.031672291,+120.915325860,15.257,267.994,-0.734,-0.002,-0.003,-0.041,0.003,3545730.814,586463.893,1876.388,2120.051,4,4,28,1,0099,0.726,27,*52

$GPYBM,SN10086413,081054.30,+32.031672279,+120.915325872,15.253,267.940,-0.845,-0.009,0.004,0.006,0.010,3545730.813,586463.894,1876.386,2120.052,4,4,28,1,0099,0.725,27,*51

$GPYBM,SN10086413,081054.40,+32.031672302,+120.915325864,15.252,267.390,-0.907,0.020,-0.009,0.008,0.022,3545730.815,586463.893,1876.389,2120.051,4,4,28,1,0099,0.725,27,*59

$GPYBM,SN10086413,081054.50,+32.031672290,+120.915325879,15.253,267.792,-0.918,-0.006,0.008,-0.011,0.010,3545730.814,586463.894,1876.387,2120.053,4,4,28,2,0099,0.728,27,*72

$GPYBM,SN10086413,081054.60,+32.031672294,+120.915325895,15.251,267.635,-0.773,0.005,0.013,0.017,0.014,3545730.814,586463.896,1876.388,2120.054,4,4,28,2,0099,0.722,27,*71

$GPYBM,SN10086413,081054.70,+32.031672302,+120.915325961,15.251,267.705,-0.779,0.009,0.059,-0.003,0.060,3545730.815,586463.902,1876.389,2120.061,4,4,28,2,0099,0.724,27,*59

$GPYBM,SN10086413,081054.80,+32.031672296,+120.915326100,15.249,267.561,-0.888,-0.004,0.129,0.021,0.129,3545730.815,586463.915,1876.388,2120.074,4,4,28,2,0099,0.724,27,*5A

